frame_idx,vehicle_count,density_veh_per_100m,congestion_severity,avg_confidence,queue_estimate
1,1,1.0,none,0.953,1
2,1,1.0,none,0.962,1
3,1,1.0,none,0.937,1
4,1,1.0,none,0.965,1
5,1,1.0,none,0.963,1
6,1,1.0,none,0.976,1
7,1,1.0,none,0.973,1
8,1,1.0,none,0.972,1
9,1,1.0,none,0.972,1
10,1,1.0,none,0.971,1
11,1,1.0,none,0.95,1
12,1,1.0,none,0.968,1
13,1,1.0,none,0.953,1
14,1,1.0,none,0.97,1
15,1,1.0,none,0.965,1
16,1,1.0,none,0.962,1
17,1,1.0,none,0.958,1
18,1,1.0,none,0.963,1
19,1,1.0,none,0.933,1
20,1,1.0,none,0.961,1
21,1,1.0,none,0.958,1
22,1,1.0,none,0.973,1
23,1,1.0,none,0.969,1
24,1,1.0,none,0.969,1
25,1,1.0,none,0.965,1
26,1,1.0,none,0.969,1
27,1,1.0,none,0.947,1
28,1,1.0,none,0.968,1
29,1,1.0,none,0.961,1
30,1,1.0,none,0.973,1
31,1,1.0,none,0.969,1
32,1,1.0,none,0.967,1
33,2,2.0,none,0.864,2
34,2,2.0,none,0.874,2
35,2,2.0,none,0.817,2
36,2,2.0,none,0.815,2
37,2,2.0,none,0.894,2
38,2,2.0,none,0.911,2
39,2,2.0,none,0.902,2
40,2,2.0,none,0.879,2
41,2,2.0,none,0.884,2
42,2,2.0,none,0.887,2
43,2,2.0,none,0.845,2
44,2,2.0,none,0.831,2
45,2,2.0,none,0.901,2
46,2,2.0,none,0.911,2
47,2,2.0,none,0.898,2
48,2,2.0,none,0.858,2
49,2,2.0,none,0.858,2
50,2,2.0,none,0.851,2
51,2,2.0,none,0.805,2
52,2,2.0,none,0.782,2
53,2,2.0,none,0.877,2
54,2,2.0,none,0.899,2
55,2,2.0,none,0.898,2
56,2,2.0,none,0.882,2
57,2,2.0,none,0.898,2
58,2,2.0,none,0.896,2
59,2,2.0,none,0.847,2
60,2,2.0,none,0.827,2
61,2,2.0,none,0.884,2
62,2,2.0,none,0.902,2
63,2,2.0,none,0.899,2
64,2,2.0,none,0.875,2
65,2,2.0,none,0.875,2
66,2,2.0,none,0.875,2
67,2,2.0,none,0.837,2
68,2,2.0,none,0.805,2
69,2,2.0,none,0.845,2
70,2,2.0,none,0.849,2
71,2,2.0,none,0.837,2
72,2,2.0,none,0.819,2
73,2,2.0,none,0.847,2
74,2,2.0,none,0.851,2
75,2,2.0,none,0.813,2
76,2,2.0,none,0.833,2
77,2,2.0,none,0.909,2
78,2,2.0,none,0.913,2
79,2,2.0,none,0.907,2
80,2,2.0,none,0.863,2
81,2,2.0,none,0.881,2
82,2,2.0,none,0.883,2
83,2,2.0,none,0.841,2
84,2,2.0,none,0.812,2
85,2,2.0,none,0.892,2
86,2,2.0,none,0.907,2
87,2,2.0,none,0.906,2
88,2,2.0,none,0.887,2
89,2,2.0,none,0.901,2
90,2,2.0,none,0.897,2
91,2,2.0,none,0.849,2
92,2,2.0,none,0.828,2
93,3,3.0,none,0.909,3
94,3,3.0,none,0.928,3
95,3,3.0,none,0.92,3
96,3,3.0,none,0.919,3
97,3,3.0,none,0.915,3
98,3,3.0,none,0.914,3
99,3,3.0,none,0.887,3
100,3,3.0,none,0.881,3
101,3,3.0,none,0.906,3
102,3,3.0,none,0.918,3
103,3,3.0,none,0.904,3
104,3,3.0,none,0.898,3
105,3,3.0,none,0.898,3
106,3,3.0,none,0.905,3
107,3,3.0,none,0.871,3
108,3,3.0,none,0.864,3
109,3,3.0,none,0.904,3
110,3,3.0,none,0.922,3
111,3,3.0,none,0.907,3
112,3,3.0,none,0.891,3
113,3,3.0,none,0.884,3
114,3,3.0,none,0.891,3
115,3,3.0,none,0.854,3
116,3,3.0,none,0.848,3
117,3,3.0,none,0.893,3
118,3,3.0,none,0.91,3
119,3,3.0,none,0.896,3
120,3,3.0,none,0.882,3
121,3,3.0,none,0.894,3
122,3,3.0,none,0.897,3
123,3,3.0,none,0.858,3
124,3,3.0,none,0.86,3
125,3,3.0,none,0.908,3
126,3,3.0,none,0.919,3
127,3,3.0,none,0.905,3
128,3,3.0,none,0.888,3
129,3,3.0,none,0.885,3
130,3,3.0,none,0.885,3
131,3,3.0,none,0.847,3
132,3,3.0,none,0.87,3
133,3,3.0,none,0.915,3
134,3,3.0,none,0.93,3
135,3,3.0,none,0.924,3
136,3,3.0,none,0.917,3
137,3,3.0,none,0.918,3
138,3,3.0,none,0.921,3
139,3,3.0,none,0.908,3
140,3,3.0,none,0.893,3
141,3,3.0,none,0.918,3
142,3,3.0,none,0.926,3
143,3,3.0,none,0.916,3
144,3,3.0,none,0.889,3
