step,controller,intersection,total_queued,total_moving,occupancy,tau,rho
0,FixedTime,I0,15,15,0.1487088742236452,1.6143196141470306,1.231985310577639
0,FixedTime,I1,29,10,0.4502619989089278,19.403743479409215,4.501278150575169
0,FixedTime,I2,23,11,0.03898748813670594,11.919856704548424,6.114918842609404
0,FixedTime,I3,18,17,0.02012633436413802,7.753056587410237,5.637315903815891
10,FixedTime,I0,23,12,0.2491645628541893,8.392670698511681,6.5235627097294255
10,FixedTime,I1,29,5,0.33102346275930783,15.793341449637714,5.869410968796015
10,FixedTime,I2,26,6,0.29344775600434314,11.698305608006056,1.7270337326993956
10,FixedTime,I3,28,8,0.26387139025677153,12.63857184370679,0.21705609797509573
20,FixedTime,I0,17,8,0.9891105708055391,9.683237319967537,4.927848560431206
20,FixedTime,I1,14,10,0.07379401398564667,14.742051495864521,1.1105719307035233
20,FixedTime,I2,17,10,0.7313721651071204,2.538942161769432,7.729685935607195
20,FixedTime,I3,18,11,0.18839102130347618,2.8839273145583233,4.947150218208636
30,FixedTime,I0,11,11,0.8936040239211847,11.283371867350096,8.530141162036452
30,FixedTime,I1,31,9,0.6455192598850331,6.428767123893639,4.5523910583152425
30,FixedTime,I2,22,5,0.5597601216906477,1.659177458800155,5.365284433159737
30,FixedTime,I3,13,14,0.37481797835614983,21.655770580475533,9.86404727472615
40,FixedTime,I0,17,8,0.8256121947791765,3.7107216675962063,7.151680791844319
40,FixedTime,I1,12,11,0.9485428032500482,13.562535185091896,0.5150053898983586
40,FixedTime,I2,10,9,0.5056453367924412,15.185105633713885,0.18078365289358356
40,FixedTime,I3,26,13,0.32353607336346424,21.31764486057287,5.831920457255691
50,FixedTime,I0,35,5,0.023748025347937185,18.507121824569964,2.9249119440550873
50,FixedTime,I1,15,11,0.9330981837282775,21.990677149568278,0.4175487235382258
50,FixedTime,I2,23,9,0.23952772543525236,3.6387919457343765,1.877006098758368
50,FixedTime,I3,26,8,0.3568254359143678,22.834502598577608,7.468111473817167
