step,controller,intersection,total_queued,total_moving,occupancy,tau,rho
0,TrafficSense,I0,21,8,0.33262704985169056,1.3114856364998995,8.984675073264398
0,TrafficSense,I1,27,11,0.5564981610122914,18.94750027336268,7.497400762997485
0,TrafficSense,I2,12,8,0.6441865252156416,28.693929654687267,6.73841538089637
0,TrafficSense,I3,31,13,0.8735540109199897,15.2602789421811,7.654467773557991
10,TrafficSense,I0,20,15,0.47957580793594523,0.0628286884742979,2.5987774010889106
10,TrafficSense,I1,9,12,0.014426126794479965,20.109039702116473,2.8818795255437735
10,TrafficSense,I2,20,11,0.7316510018957743,19.294766743993065,3.4828941611532427
10,TrafficSense,I3,8,14,0.19707569056749596,13.256901224241386,6.471676611773979
20,TrafficSense,I0,23,14,0.08619131623897747,24.861354832166242,3.016576654425317
20,TrafficSense,I1,25,12,0.059924455741271254,8.527855682475852,4.119210878027653
20,TrafficSense,I2,17,9,0.5833995598901262,28.739154562713377,4.657560617087466
20,TrafficSense,I3,18,7,0.9498016811472134,11.22703216884632,3.185922998710493
30,TrafficSense,I0,6,13,0.8757055449492528,19.09840942241649,8.317690413514088
30,TrafficSense,I1,24,10,0.03273446749874964,20.62112918093711,8.052082705501574
30,TrafficSense,I2,25,10,0.8842231618082065,23.014736484367603,1.1872528796036586
30,TrafficSense,I3,24,8,0.15935041321024057,3.79859202445594,7.28982129542668
40,TrafficSense,I0,12,9,0.19591013174847716,22.979481506823802,5.390615967131458
40,TrafficSense,I1,12,11,0.8711296164482822,29.971055511564284,0.3494120917950816
40,TrafficSense,I2,22,9,0.9697084437946565,14.686186725665515,2.212402312836107
40,TrafficSense,I3,16,8,0.889708888838704,14.241857677938617,1.3881983511130858
50,TrafficSense,I0,17,10,0.9577186110660355,3.1230275633394236,6.393055861863498
50,TrafficSense,I1,23,12,0.2859288591848631,5.2330575278783344,5.221551462672523
50,TrafficSense,I2,18,9,0.7641352575485744,28.88703596852509,8.24229586356671
50,TrafficSense,I3,23,12,0.4584722505002343,22.802337065382982,7.605080760437321
