epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.005,1.14583,0.9199,1.01813,0.81017,0.6115,0.51207,0.47955,1.24654,1.31733,1.10254,0.000148404,0.000148404,0.0506803
2,411.542,1.11435,0.86987,1.0079,0.81079,0.58834,0.52579,0.49342,1.23862,1.34694,1.10969,0.000295942,0.000295942,0.000827857
3,736.341,1.08874,0.83668,1.00127,0.80544,0.57456,0.51515,0.48487,1.24347,1.39203,1.10527,0.00029505,0.00029505,0.00029505
4,996.941,1.09558,0.84245,1.00749,0.82709,0.57279,0.54386,0.51508,1.2391,1.3649,1.12741,0.000292575,0.000292575,0.000292575
5,1348.97,1.07753,0.83289,1.00025,0.67046,0.58754,0.55583,0.51304,1.23396,1.42746,1.12616,0.0002901,0.0002901,0.0002901
6,1550.57,1.06644,0.83038,0.99727,0.79696,0.60948,0.61513,0.56771,1.23965,1.42292,1.13058,0.000287625,0.000287625,0.000287625
7,1973.76,1.07814,0.83055,0.99988,0.78149,0.61256,0.61705,0.57593,1.23707,1.35723,1.11795,0.00028515,0.00028515,0.00028515
8,2230.87,1.05356,0.81671,0.99432,0.78099,0.61172,0.61624,0.56628,1.25267,1.39252,1.12986,0.000282675,0.000282675,0.000282675
9,2572.06,1.0573,0.81203,1.00195,0.81916,0.56372,0.54663,0.5162,1.24874,1.42313,1.12661,0.0002802,0.0002802,0.0002802
10,2772.57,1.06381,0.81462,0.99828,0.75468,0.58177,0.59401,0.56362,1.24955,1.39943,1.13365,0.000277725,0.000277725,0.000277725
11,3015,1.05764,0.79925,0.99748,0.80251,0.58179,0.56238,0.5244,1.25135,1.44356,1.13698,0.00027525,0.00027525,0.00027525
12,3309.38,1.03258,0.79401,0.98021,0.79473,0.60945,0.63079,0.5798,1.25318,1.39526,1.13866,0.000272775,0.000272775,0.000272775
13,3536.07,1.01927,0.78364,0.98349,0.75662,0.61131,0.64549,0.60879,1.24802,1.4718,1.13374,0.0002703,0.0002703,0.0002703
14,3715.87,1.0293,0.78834,0.98547,0.76155,0.61158,0.64527,0.60082,1.25094,1.46045,1.13336,0.000267825,0.000267825,0.000267825
15,3970.52,1.02505,0.78579,0.98099,0.78194,0.61174,0.63074,0.59502,1.25235,1.42535,1.13163,0.00026535,0.00026535,0.00026535
16,4215.7,1.01506,0.79538,0.97923,0.74186,0.61517,0.63865,0.60313,1.25811,1.39541,1.13312,0.000262875,0.000262875,0.000262875
17,4401.74,1.01574,0.77857,0.97745,0.66297,0.70857,0.66117,0.61337,1.25972,1.39691,1.13133,0.0002604,0.0002604,0.0002604
18,4593.73,1.00624,0.76936,0.97312,0.74962,0.61186,0.65982,0.61923,1.2523,1.46259,1.12955,0.000257925,0.000257925,0.000257925
19,4837.66,1.01906,0.77269,0.98514,0.79717,0.61057,0.7054,0.66426,1.24445,1.46489,1.1335,0.00025545,0.00025545,0.00025545
20,4997.22,1.01992,0.78121,0.98504,0.76882,0.70445,0.66017,0.6156,1.25832,1.4336,1.13997,0.000252975,0.000252975,0.000252975
21,5235.03,1.0033,0.7646,0.98202,0.77369,0.61393,0.64905,0.61148,1.25798,1.38647,1.13424,0.0002505,0.0002505,0.0002505
22,5500.57,0.9999,0.76077,0.97475,0.73022,0.7045,0.69402,0.65669,1.25212,1.37641,1.12867,0.000248025,0.000248025,0.000248025
23,5760.88,0.99983,0.75516,0.96897,0.78421,0.61251,0.63763,0.60462,1.24923,1.43618,1.12489,0.00024555,0.00024555,0.00024555
24,5937.74,1.01805,0.77012,0.97449,0.74211,0.61476,0.63726,0.60497,1.25893,1.46541,1.12854,0.000243075,0.000243075,0.000243075
25,6218.91,0.99093,0.75227,0.96803,0.67595,0.61289,0.69838,0.66643,1.25358,1.42477,1.13026,0.0002406,0.0002406,0.0002406
26,6378.99,0.98944,0.7491,0.96644,0.76389,0.61192,0.64436,0.6075,1.26929,1.39289,1.13387,0.000238125,0.000238125,0.000238125
27,6633.74,0.98819,0.75514,0.96812,0.76166,0.6136,0.70509,0.67394,1.25968,1.37503,1.1312,0.00023565,0.00023565,0.00023565
28,6916.36,0.99363,0.75435,0.96717,0.82097,0.60872,0.65186,0.62171,1.25646,1.47775,1.14406,0.000233175,0.000233175,0.000233175
29,7135.89,0.96253,0.73294,0.95982,0.78179,0.61078,0.58392,0.52288,1.26743,1.46385,1.14066,0.0002307,0.0002307,0.0002307
30,7390.52,0.97318,0.73931,0.96134,0.75837,0.61356,0.65941,0.62108,1.26747,1.40297,1.14742,0.000228225,0.000228225,0.000228225
31,7643.62,0.96713,0.73934,0.96159,0.77077,0.6117,0.64761,0.60517,1.27434,1.44535,1.14803,0.00022575,0.00022575,0.00022575
32,7876.76,0.97848,0.74678,0.96401,0.6803,0.61191,0.63185,0.59985,1.26426,1.44262,1.14411,0.000223275,0.000223275,0.000223275
33,8151.28,0.97796,0.74266,0.96156,0.77677,0.59937,0.63671,0.60362,1.27904,1.50468,1.15441,0.0002208,0.0002208,0.0002208
34,8315.77,0.96776,0.73977,0.96142,0.72175,0.6143,0.62214,0.58699,1.26537,1.47167,1.15127,0.000218325,0.000218325,0.000218325
35,8628.84,0.97304,0.73997,0.96085,0.76916,0.6117,0.62241,0.59078,1.26708,1.45143,1.14302,0.00021585,0.00021585,0.00021585
36,8911.56,0.96093,0.73139,0.96084,0.79665,0.61235,0.62303,0.589,1.26385,1.42667,1.14033,0.000213375,0.000213375,0.000213375
37,9155.14,0.96906,0.7402,0.95723,0.82753,0.60723,0.62982,0.59542,1.26169,1.44288,1.1354,0.0002109,0.0002109,0.0002109
38,9331.69,0.94072,0.71086,0.95077,0.80492,0.60883,0.6364,0.60614,1.26905,1.4809,1.13981,0.000208425,0.000208425,0.000208425
39,9627.23,0.94473,0.71866,0.95146,0.71019,0.61614,0.63237,0.60023,1.26983,1.3436,1.13701,0.00020595,0.00020595,0.00020595
40,9835.27,0.93405,0.71223,0.94937,0.5771,0.70711,0.62859,0.59526,1.27234,1.38272,1.14862,0.000203475,0.000203475,0.000203475
41,10070,0.94197,0.72074,0.94559,0.7848,0.61056,0.64443,0.60913,1.26505,1.43299,1.13965,0.000201,0.000201,0.000201
42,10297.5,0.94363,0.71391,0.95205,0.67519,0.70743,0.64696,0.61675,1.27661,1.40135,1.14491,0.000198525,0.000198525,0.000198525
43,10553,0.95319,0.72309,0.95354,0.79317,0.61181,0.64427,0.60037,1.26944,1.47151,1.14407,0.00019605,0.00019605,0.00019605
44,10785.6,0.92622,0.69958,0.94425,0.62003,0.59677,0.62901,0.5925,1.27434,1.44182,1.14173,0.000193575,0.000193575,0.000193575
45,11055.6,0.92836,0.70736,0.94563,0.61315,0.61082,0.65878,0.61754,1.28148,1.50361,1.14497,0.0001911,0.0001911,0.0001911
46,11277.2,0.94346,0.71528,0.95343,0.656,0.61273,0.64389,0.60128,1.27878,1.46225,1.14439,0.000188625,0.000188625,0.000188625
47,11607.9,0.92301,0.69689,0.94405,0.81319,0.50686,0.70332,0.66707,1.28122,1.49072,1.14783,0.00018615,0.00018615,0.00018615
48,11821.4,0.93434,0.70091,0.95155,0.90464,0.5081,0.65801,0.62172,1.28389,1.43836,1.14614,0.000183675,0.000183675,0.000183675
49,12255.2,0.92638,0.69722,0.94626,0.77561,0.61092,0.64322,0.6067,1.28197,1.47014,1.14245,0.0001812,0.0001812,0.0001812
50,12510.4,0.92341,0.7008,0.94615,0.78946,0.60906,0.65858,0.62799,1.28452,1.43766,1.14506,0.000178725,0.000178725,0.000178725
51,12773.4,0.90876,0.70068,0.94091,0.71348,0.6079,0.64314,0.61579,1.27975,1.47159,1.15134,0.00017625,0.00017625,0.00017625
52,12968.4,0.92208,0.69805,0.947,0.49156,0.70711,0.7039,0.67321,1.28082,1.43729,1.15286,0.000173775,0.000173775,0.000173775
53,13220.8,0.91111,0.69419,0.93967,0.71582,0.50417,0.6574,0.62445,1.28624,1.49614,1.16255,0.0001713,0.0001713,0.0001713
54,13466,0.911,0.68607,0.94091,0.77137,0.61175,0.70328,0.66709,1.27927,1.46311,1.16584,0.000168825,0.000168825,0.000168825
