epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.57093,1.11063,4.75173,1.02715,0,0,0,0,0.79459,4.63526,0.87235,0.000311111,0.000311111,0.0692
2,5.86441,0.6797,3.82766,0.89511,0.00321,0.03472,0.00825,0.00511,0.51031,4.47148,0.80045,0.000631684,0.000631684,0.0361872
3,8.11598,0.64942,3.31501,0.90879,0.04393,0.45817,0.07499,0.05728,0.59886,4.2828,0.85245,0.000939058,0.000939058,0.00316128
4,10.3983,0.62054,2.96509,0.89437,0.04791,0.78244,0.13228,0.10234,0.5813,3.99952,0.87041,0.0009406,0.0009406,0.0009406
5,12.4537,0.58993,2.77103,0.90675,0.02606,0.88765,0.14263,0.11376,0.55494,3.81101,0.88702,0.0009208,0.0009208,0.0009208
6,14.5115,0.56834,2.60732,0.90848,0.04659,0.94777,0.20491,0.1588,0.53787,3.68877,0.91109,0.000901,0.000901,0.000901
7,16.6761,0.51766,2.41807,0.87724,0.43694,0.13017,0.26269,0.23046,0.42807,3.16945,0.85244,0.0008812,0.0008812,0.0008812
8,18.9181,0.49144,2.355,0.8882,0.4972,0.26144,0.27252,0.24138,0.38952,3.05116,0.83522,0.0008614,0.0008614,0.0008614
9,21.066,0.45721,2.28206,0.88194,0.36443,0.30808,0.24439,0.21882,0.41706,2.95838,0.84541,0.0008416,0.0008416,0.0008416
10,23.1023,0.45004,2.15381,0.87661,0.1976,0.4045,0.26875,0.23706,0.4031,2.78413,0.85539,0.0008218,0.0008218,0.0008218
11,25.079,0.46224,2.06663,0.87946,0.21938,0.4532,0.30667,0.27435,0.4001,2.73382,0.85908,0.000802,0.000802,0.000802
12,27.1178,0.42835,1.98481,0.86394,0.23707,0.51246,0.39953,0.36072,0.39806,2.65012,0.86098,0.0007822,0.0007822,0.0007822
13,29.2444,0.44414,1.97182,0.87756,0.65676,0.34283,0.40015,0.36811,0.34038,2.55573,0.8476,0.0007624,0.0007624,0.0007624
14,31.3108,0.43031,1.88834,0.87271,0.52947,0.3576,0.41641,0.37596,0.36009,2.59377,0.87236,0.0007426,0.0007426,0.0007426
15,33.4386,0.41566,1.83029,0.87119,0.26509,0.46536,0.43506,0.40232,0.36371,2.45667,0.87018,0.0007228,0.0007228,0.0007228
16,35.4591,0.40784,1.86509,0.88967,0.33563,0.48009,0.45417,0.42195,0.38462,2.51442,0.88583,0.000703,0.000703,0.000703
17,37.4304,0.40543,1.77102,0.87772,0.72101,0.32913,0.46028,0.4283,0.35314,2.5493,0.88094,0.0006832,0.0006832,0.0006832
18,39.4195,0.39058,1.68956,0.86931,0.61988,0.41184,0.48343,0.45373,0.33038,2.51051,0.87187,0.0006634,0.0006634,0.0006634
19,41.4887,0.3874,1.66672,0.85895,0.30271,0.52658,0.46826,0.43879,0.30511,2.50153,0.86691,0.0006436,0.0006436,0.0006436
20,43.5657,0.38563,1.60862,0.86513,0.54206,0.41918,0.46979,0.4424,0.32499,2.47056,0.87253,0.0006238,0.0006238,0.0006238
21,45.6144,0.36921,1.51545,0.85598,0.45521,0.48187,0.47805,0.45502,0.30194,2.43483,0.85711,0.000604,0.000604,0.000604
22,47.5888,0.3558,1.51054,0.87399,0.35234,0.52064,0.4831,0.46168,0.3058,2.3844,0.85525,0.0005842,0.0005842,0.0005842
23,49.5556,0.34777,1.44632,0.85193,0.38922,0.47834,0.51588,0.49747,0.29411,2.31829,0.86195,0.0005644,0.0005644,0.0005644
24,51.5433,0.33662,1.46499,0.85166,0.52195,0.50435,0.52601,0.5132,0.27596,2.2954,0.85818,0.0005446,0.0005446,0.0005446
25,53.5705,0.36931,1.5062,0.8592,0.4974,0.4867,0.53588,0.51723,0.29049,2.34996,0.85036,0.0005248,0.0005248,0.0005248
26,55.5747,0.32338,1.43669,0.8558,0.44586,0.50146,0.52012,0.49493,0.33144,2.37875,0.85436,0.000505,0.000505,0.000505
27,57.6482,0.33019,1.35757,0.83822,0.36946,0.50541,0.51617,0.50017,0.31641,2.39883,0.85168,0.0004852,0.0004852,0.0004852
28,59.7055,0.34343,1.33836,0.84722,0.37644,0.57388,0.50756,0.49421,0.26801,2.35365,0.844,0.0004654,0.0004654,0.0004654
29,61.7492,0.31864,1.31927,0.83315,0.51659,0.56269,0.493,0.47923,0.26529,2.32394,0.84023,0.0004456,0.0004456,0.0004456
30,63.6656,0.31705,1.34271,0.84466,0.46392,0.57125,0.50643,0.49514,0.27597,2.31185,0.83987,0.0004258,0.0004258,0.0004258
31,65.6859,0.32303,1.3535,0.84796,0.4146,0.58729,0.513,0.50257,0.27641,2.35778,0.84458,0.000406,0.000406,0.000406
32,67.6401,0.30772,1.29082,0.82313,0.3612,0.58036,0.51644,0.4996,0.27447,2.35864,0.84025,0.0003862,0.0003862,0.0003862
33,69.6807,0.32283,1.27334,0.85041,0.3681,0.58333,0.51639,0.50019,0.27058,2.36825,0.8394,0.0003664,0.0003664,0.0003664
34,71.8051,0.2982,1.20165,0.83338,0.41434,0.53051,0.50276,0.48636,0.28139,2.37862,0.84366,0.0003466,0.0003466,0.0003466
35,73.8533,0.30264,1.23595,0.84234,0.33728,0.58333,0.50013,0.48472,0.28746,2.40766,0.84608,0.0003268,0.0003268,0.0003268
