epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.27618,1.16194,5.5151,1.07023,0.00784,0.15476,0.01445,0.01344,0.55265,5.29387,0.93311,0.000291667,0.000291667,0.071125
2,12.7489,1.13144,5.40926,1.04693,0.03442,0.12242,0.03889,0.03256,0.75606,29.0308,0.97272,0.000620875,0.000620875,0.0381209
3,18.6969,0.9518,3.84156,1.02597,0.17681,0.38783,0.13021,0.09705,0.75266,17.5939,0.99518,0.000945683,0.000945683,0.00511235
4,24.3227,0.6438,3.56266,0.94985,0.03093,0.05258,0.02206,0.02027,0.59928,2087.89,1.0419,0.0009802,0.0009802,0.0009802
5,29.8449,0.67816,3.18691,0.96785,0.02524,0.17917,0.02509,0.02065,0.69932,4401.82,1.01066,0.0009736,0.0009736,0.0009736
6,35.4997,0.59282,2.69783,0.93849,0.00833,0.01389,0.00349,0.00279,0.63629,2341.99,0.99281,0.000967,0.000967,0.000967
7,40.733,0.51755,2.55432,0.90791,0.02361,0.01667,0.00867,0.00861,0.87489,312.156,1.23036,0.0009604,0.0009604,0.0009604
8,46.2568,0.50886,2.39657,0.91821,0.15023,0.06521,0.01682,0.01529,0.84786,53.1459,1.17939,0.0009538,0.0009538,0.0009538
9,51.6592,0.4572,2.18637,0.89166,0.32556,0.17983,0.09793,0.08807,0.5582,9.77677,0.95952,0.0009472,0.0009472,0.0009472
10,57.049,0.47299,2.002,0.87845,0.26781,0.40615,0.23359,0.19918,0.50483,3.34723,0.94477,0.0009406,0.0009406,0.0009406
11,62.4437,0.44883,1.98217,0.89247,0.57221,0.1987,0.25313,0.21037,0.47507,3.2036,0.93713,0.000934,0.000934,0.000934
12,68.0276,0.43374,1.87082,0.8824,0.44234,0.34861,0.31835,0.28217,0.44323,2.95021,0.92399,0.0009274,0.0009274,0.0009274
13,73.2563,0.42707,1.77432,0.88462,0.26338,0.45791,0.31163,0.2805,0.45334,2.82909,0.91705,0.0009208,0.0009208,0.0009208
14,78.5243,0.39196,1.67105,0.86763,0.34953,0.42979,0.34933,0.32766,0.36042,2.73637,0.87647,0.0009142,0.0009142,0.0009142
15,83.5814,0.39819,1.60127,0.86959,0.29072,0.44711,0.37983,0.34844,0.41226,2.8083,0.89294,0.0009076,0.0009076,0.0009076
16,88.9485,0.39338,1.49337,0.85729,0.23388,0.42123,0.32809,0.30584,0.41563,2.96864,0.87639,0.000901,0.000901,0.000901
17,94.3498,0.39482,1.49163,0.8802,0.33817,0.42334,0.34382,0.32232,0.37542,2.8404,0.87576,0.0008944,0.0008944,0.0008944
18,99.7945,0.39458,1.41573,0.85786,0.30749,0.42098,0.36935,0.34376,0.37146,2.81234,0.89694,0.0008878,0.0008878,0.0008878
19,105.035,0.37766,1.31907,0.86801,0.36692,0.39209,0.3371,0.30681,0.4302,2.96828,0.9048,0.0008812,0.0008812,0.0008812
20,110.214,0.37318,1.25627,0.85387,0.43256,0.44587,0.33904,0.30957,0.408,2.97401,0.90931,0.0008746,0.0008746,0.0008746
21,115.427,0.36373,1.27011,0.8672,0.46224,0.42043,0.3765,0.35916,0.33323,2.87702,0.87159,0.000868,0.000868,0.000868
