epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.51774,0.61429,5.69144,0.90477,0.00672,0.10804,0.00897,0.00835,0.48812,5.2665,0.91693,0.000145833,0.000145833,0.0709792
2,4.73717,0.59359,5.41673,0.90768,0.05846,0.06151,0.00758,0.00751,0.44316,7.95346,0.8692,0.000311469,0.000311469,0.0378115
3,7.16262,0.54876,4.82101,0.8912,0.01101,0.07758,0.00587,0.00569,0.48711,59.0416,0.85329,0.000476004,0.000476004,0.00464267
4,9.54984,0.53806,3.32715,0.87568,0.03292,0.72338,0.0702,0.06458,0.45526,10.9819,0.83341,0.00049505,0.00049505,0.00049505
5,11.7409,0.45862,2.95721,0.86132,0.1565,0.41382,0.13101,0.12355,0.38031,12.4068,0.82095,0.0004934,0.0004934,0.0004934
6,14.0533,0.43737,2.77423,0.87026,0.16653,0.4811,0.15297,0.14538,0.38222,12.6002,0.82358,0.00049175,0.00049175,0.00049175
7,16.2028,0.43219,2.50633,0.85652,0.07613,0.59019,0.15814,0.14817,0.34358,7.79439,0.82313,0.0004901,0.0004901,0.0004901
8,18.3365,0.38958,2.36373,0.86191,0.09121,0.51357,0.17731,0.16937,0.3362,7.11385,0.83561,0.00048845,0.00048845,0.00048845
9,20.4412,0.39195,2.2292,0.87811,0.11608,0.52025,0.22572,0.21269,0.35089,4.77658,0.86376,0.0004868,0.0004868,0.0004868
10,22.5235,0.37775,2.09931,0.86314,0.19801,0.44024,0.27333,0.26181,0.3279,3.76507,0.86158,0.00048515,0.00048515,0.00048515
11,24.525,0.36678,2.01692,0.87221,0.3296,0.39465,0.33341,0.32016,0.31508,2.94773,0.8471,0.0004835,0.0004835,0.0004835
12,26.5611,0.36129,1.87952,0.86473,0.29287,0.42647,0.36268,0.35166,0.28151,2.8362,0.84438,0.00048185,0.00048185,0.00048185
13,28.5622,0.34715,1.81698,0.8559,0.17005,0.58584,0.38408,0.3719,0.30241,2.65211,0.83742,0.0004802,0.0004802,0.0004802
14,30.5668,0.32428,1.7354,0.84382,0.25199,0.46962,0.40595,0.3874,0.30072,2.57944,0.84796,0.00047855,0.00047855,0.00047855
15,32.5728,0.33249,1.66628,0.85616,0.23831,0.49814,0.41925,0.39708,0.29715,2.60017,0.8553,0.0004769,0.0004769,0.0004769
16,34.5863,0.33888,1.63858,0.86887,0.19855,0.54612,0.41441,0.39857,0.29225,2.56456,0.85129,0.00047525,0.00047525,0.00047525
17,36.6104,0.33753,1.55746,0.86273,0.20242,0.53802,0.39635,0.37969,0.33831,2.5713,0.8579,0.0004736,0.0004736,0.0004736
18,38.6025,0.32716,1.47792,0.85098,0.34828,0.41801,0.41891,0.39777,0.32771,2.5945,0.85312,0.00047195,0.00047195,0.00047195
19,40.6004,0.32721,1.47162,0.8524,0.28395,0.41883,0.46872,0.45304,0.28734,2.44288,0.85277,0.0004703,0.0004703,0.0004703
20,42.6265,0.32633,1.40147,0.8406,0.3228,0.41684,0.45826,0.43843,0.31075,2.52386,0.86371,0.00046865,0.00046865,0.00046865
21,44.6138,0.32008,1.37282,0.83571,0.32812,0.50555,0.47896,0.46349,0.28914,2.36863,0.84943,0.000467,0.000467,0.000467
22,46.6223,0.32648,1.34279,0.84485,0.36752,0.53358,0.5196,0.50499,0.26635,2.21815,0.83542,0.00046535,0.00046535,0.00046535
23,48.6408,0.31542,1.23736,0.84732,0.36279,0.50683,0.51592,0.50557,0.27725,2.30554,0.83977,0.0004637,0.0004637,0.0004637
24,50.7457,0.33958,1.26896,0.85085,0.63882,0.42662,0.514,0.49666,0.29625,2.31997,0.8417,0.00046205,0.00046205,0.00046205
25,53.261,0.32243,1.27629,0.85525,0.38463,0.50999,0.49927,0.48404,0.28639,2.26298,0.84033,0.0004604,0.0004604,0.0004604
26,56.0268,0.31156,1.19451,0.85018,0.52797,0.45133,0.482,0.46979,0.26299,2.41316,0.83396,0.00045875,0.00045875,0.00045875
27,58.3185,0.30127,1.13847,0.82724,0.32825,0.54089,0.50291,0.49034,0.25533,2.4617,0.82631,0.0004571,0.0004571,0.0004571
28,60.4899,0.30217,1.10467,0.84713,0.33532,0.53614,0.50255,0.49194,0.25276,2.40576,0.82403,0.00045545,0.00045545,0.00045545
